"<b/>","-33.4310360237875","-70.6235799167472","0.0","HUELEN-PROVIDENCIA;PROVIDENCIA"
"<b/>","-33.4302290045848","-70.6244898699085","0.0","COSTANERA ANDRES BELLO-HUELEN;PROVIDENCIA"
"<b/>","-33.4350653441732","-70.6259139121507","0.0","SALVADOR -DR. ALESSANDRI;PROVIDENCIA"
"<b/>","-33.417189889667","-70.6097384033577","0.0","SANTA MARIA-PUENTE LOS LEONES;PROVIDENCIA"
"<b/>","-33.4165167826748","-70.6090881088972","0.0","SANTA MARIA-LOS LEONES;PROVIDENCIA"
"<b/>","-33.417792848811","-70.610324110065","0.0","SANTA MARIA-PUENTE SUECIA;PROVIDENCIA"
"<b/>","-33.4219827081392","-70.6186091120988","0.0","LA CONCEPCION-SANTA MARIA;PROVIDENCIA"
"<b/>","-33.4223761194598","-70.6200564854384","0.0","PEATONAL SHERATON ORIENTE-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4230316629378","-70.6210166450992","0.0","SHERATON-SANTA MARIA PEATONAL;PROVIDENCIA"
"<b/>","-33.4225987365574","-70.6204942701234","0.0","SHERATON-CONQUISTADORES PEATONA;PROVIDENCIA"
"<b/>","-33.420739945992","-70.6147955344092","0.0","PEDRO DE VALDIVIA-SANTA MARIA;PROVIDENCIA"
"<b/>","-33.4188984544913","-70.6116358609133","0.0","PADRE LETELIER-SANTA MARIA;PROVIDENCIA"
"<b/>","-33.4162838144221","-70.6088737267178","0.0","SANTA MARIA-EL CERRO PONIENTE;PROVIDENCIA"
"<b/>","-33.4245395497146","-70.6228950095561","0.0","SANTA MARIA-PUENTE NUEVA TAJAMAR;PROVIDENCIA"
"<b/>","-33.4245395497146","-70.6228950095561","0.0","PEATONAL PONIENTE-EL CERRO;PROVIDENCIA"
"<b/>","-33.4213279655551","-70.6167325423673","0.0","CARLOS CASANUEVA-SANTA MARIA;PROVIDENCIA"
"<b/>","-33.4157484921279","-70.6116598412954","0.0","EL CERRO-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4136882316295","-70.609379509637","0.0","LOS HIDALGOS-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4157665244612","-70.6116601743364","0.0","PEATONAL EL CERRO-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4173493377956","-70.6134638151846","0.0","PADRE LETELIER-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4192057198961","-70.615573704347","0.0","PEDRO DE VALDIVIA-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4208420270224","-70.6173784804474","0.0","CARLOS CASANUEVA-LOS CONQUISTADORES;PROVIDENCIA"
"<b/>","-33.4289040154565","-70.6256522619641","0.0","LOS PIÑONES-BELLAVISTA;PROVIDENCIA"
"<b/>","-33.4306284854887","-70.6279427564916","0.0","CALLE DEL ARZOBISPO-BELLAVISTA;PROVIDENCIA"
"<b/>","-33.4310414023438","-70.6283985440724","0.0","MAGALLANES-BELLAVISTA;PROVIDENCIA"
"<b/>","-33.4324245494217","-70.6297365792812","0.0","CAPELLAN ABARZUA-BELLAVISTA;PROVIDENCIA"
"<b/>","-33.4341306019","-70.6328243542425","0.0","MALLINKRODT-BELLAVISTA;PROVIDENCIA"
"<b/>","-33.4218791892639","-70.6141541414775","0.0","PEDRO DE VALDIVIA-COSTANERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.420254535758","-70.6112056787673","0.0","NVA DE LYON (PTE. P. LETELIER)-COSTANERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4181356931487","-70.6087095670129","0.0","PUENTE LOS LEONES-COSTANERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4160795201713","-70.6067844074291","0.0","TAJAMAR P-ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4188528080453","-70.6094206268612","0.0","SUECIA-COSTANERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4229204897155","-70.617709540213","0.0","LA CONCEPCION-COSTANERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4250860639996","-70.6215152120993","0.0","CALDERON-COSNATERA ANDRES BELLO;PROVIDENCIA"
"<b/>","-33.4237677877467","-70.5977553443331","0.0","EL BOSQUE-CARMEN SYLVA (PONIENTE);PROVIDENCIA"
"<b/>","-33.4237566430139","-70.597724381485","0.0","EL BOSQUE-CARMEN SYLVA (ORIENTE);PROVIDENCIA"
"<b/>","-33.4251181084042","-70.6040379588732","0.0","LOS LEONES-CARMEN SYLVA;PROVIDENCIA"
"<b/>","-33.4290956634671","-70.6124258126985","0.0","MARCHANT PEREIRA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4287368550452","-70.6103961986057","0.0","PEDRO DE VALDIVIA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4279861617679","-70.6075042200997","0.0","RICARDO LYON-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4275435319225","-70.6054714942441","0.0","SUECIA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4271123272111","-70.6035129941632","0.0","LOS LEONES-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4266916921435","-70.601603750394","0.0","HOLANDA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4262999693851","-70.5998887542117","0.0","LUIS THAYER OJEDA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4260183186372","-70.5985951301626","0.0","HERNANDO DE AGUIRRE-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4256431230494","-70.5970501769066","0.0","EL BOSQUE-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4246116189484","-70.5933036398202","0.0","TOBALABA-CARLOS ANTUNEZ;PROVIDENCIA"
"<b/>","-33.4262691501072","-70.5911355683855","0.0","TOBALABA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4271909567541","-70.5922429644789","0.0","AMAPOLAS-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4282794850479","-70.5949097313561","0.0","JUAN DE DIOS VIAL-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4285164592861","-70.5959777729962","0.0","EL BOSQUE-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4288631480629","-70.5976644381056","0.0","HERNANDO DE AGUIRRE-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4291615524992","-70.598967336191","0.0","LUIS THAYER OJEDA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.429546600029","-70.6007882046754","0.0","HOLANDA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4299774806478","-70.6027590029234","0.0","LOS LEONES-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4303796758819","-70.6045745190594","0.0","SUECIA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.430787893537","-70.6064103829542","0.0","RICARDO LYON-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4314284765152","-70.6094499193817","0.0","PEDRO DE VALDIVIA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4319193048157","-70.6115853956973","0.0","MARCHANT PEREIRA-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4327206243677","-70.6158455476107","0.0","ANTONIO VARAS-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4332613420354","-70.6173971073312","0.0","MANUEL MONTT-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4337257242904","-70.6196825480366","0.0","MIGUEL CLARO-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4337572698095","-70.6208576879007","0.0","ROMAN DIAZ-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4333626366696","-70.6233812245032","0.0","JOSE MANUEL INFANTE-ELIODORO YAÑEZ;PROVIDENCIA"
"<b/>","-33.4348237149277","-70.6166189464268","0.0","MANUEL MONTT-VALENZUELA CASTILLO;PROVIDENCIA"
"<b/>","-33.4344778752063","-70.6152542561947","0.0","ANTONIO VARAS-VALENZUELA CASTILLO;PROVIDENCIA"
"<b/>","-33.4354624307227","-70.6192846662423","0.0","MIGUEL CLARO-VALENZUELA CASTILLO;PROVIDENCIA"
"<b/>","-33.4331188487908","-70.6089648313287","0.0","PEDRO DE VALDIVIA-MAR DEL PLATA;PROVIDENCIA"
"<b/>","-33.4323413119451","-70.6058173093918","0.0","RICARDO LYON-MAR DEL PLATA;PROVIDENCIA"
