pais,ciudad,id,avgLux,latitude,longitude,url
United Kingdom,London,2452,111,51.511433,-0.117513000000031,https://api.smartcitizen.me/v0/devices/2452
United Kingdom,London,1679,673,51.520409009003,-0.129349904916559,https://api.smartcitizen.me/v0/devices/1679
United Kingdom,London,1212,15,51.5219742067425,-0.137195183715798,https://api.smartcitizen.me/v0/devices/1212
United Kingdom,London,888,102,51.5234094460274,-0.084130360565179,https://api.smartcitizen.me/v0/devices/888
United Kingdom,London,2359,120,51.5217938,-0.131980500000054,https://api.smartcitizen.me/v0/devices/2359
United Kingdom,London,2400,378,51.5473039,-0.14200500000004,https://api.smartcitizen.me/v0/devices/2400
Spain,Madrid,2121,331,40.452165,-3.72610299999997,https://api.smartcitizen.me/v0/devices/2121
Spain,Madrid,2053,2,40.4530335822082,-3.72636616230011,https://api.smartcitizen.me/v0/devices/2053
Spain,Madrid,2051,100,40.4530682791136,-3.72666925191879,https://api.smartcitizen.me/v0/devices/2051
Spain,Madrid,2045,54,40.4530764430887,-3.72623205184936,https://api.smartcitizen.me/v0/devices/2045
Spain,Madrid,2118,1500,40.452165,-3.72610299999997,https://api.smartcitizen.me/v0/devices/2118
Spain,Madrid,2054,303,40.4529560243548,-3.72625350952148,https://api.smartcitizen.me/v0/devices/2054
Spain,Madrid,2056,1377,40.4430278800818,-3.72814178466797,https://api.smartcitizen.me/v0/devices/2056
Spain,Madrid,2258,66,40.4060293691927,-3.70000004768372,https://api.smartcitizen.me/v0/devices/2258
Spain,Madrid,1854,112,40.452165,-3.72610299999997,https://api.smartcitizen.me/v0/devices/1854
Spain,Madrid,2119,195,40.452165,-3.72610299999997,https://api.smartcitizen.me/v0/devices/2119
Spain,Madrid,1870,134,40.45214,-3.72774000000004,https://api.smartcitizen.me/v0/devices/1870
Spain,Madrid,3051,586,40.4529264,-3.7260029,https://api.smartcitizen.me/v0/devices/3051
Spain,Madrid,1697,1,40.4167754,-3.70379019999996,https://api.smartcitizen.me/v0/devices/1697
Spain,Madrid,2044,190,40.4530539921547,-3.72672557830811,https://api.smartcitizen.me/v0/devices/2044
Spain,Madrid,2120,0,40.452165,-3.72610299999997,https://api.smartcitizen.me/v0/devices/2120
Spain,Madrid,2043,647,40.4530784840824,-3.72617840766907,https://api.smartcitizen.me/v0/devices/2043
Spain,Madrid,2055,387,40.4529458,-3.7259973,https://api.smartcitizen.me/v0/devices/2055
Spain,Madrid,1933,668,40.4514211768421,-3.73101711273193,https://api.smartcitizen.me/v0/devices/1933
Spain,Madrid,1991,517,40.4389813,-3.72997409999994,https://api.smartcitizen.me/v0/devices/1991
Spain,Madrid,2052,209,40.4530213362373,-3.72647881507873,https://api.smartcitizen.me/v0/devices/2052
Argentina,Buenos Aires,1050,116,-34.5921077,-58.385191,https://api.smartcitizen.me/v0/devices/1050
Argentina,Buenos Aires,1380,2,-34.6172813,-58.3749553,https://api.smartcitizen.me/v0/devices/1380
